Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Albrechtschraufite,Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,Mg Ca F U O C H,,Not in a structural group,triclinic,P-1,0.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",12,Carbonates with other anions
Alburnite,Alburnite,Ag^1+^_8_GeTe^2-^_2_S^2-^_4_,Ag Ge Te S,,Argyrodite,cubic,F-43m,12.87,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Alcantarillaite,Alcantarillaite,[Fe^3+^_0.5_(H_2_O)_4_][CaAs^3+^_2_(Fe^3+^_2.5_W^6+^_0.5_)(As^5+^O_4_)_2_O_7_],Fe H O Ca As W,,Walentaite,orthorhombic,Imma,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",27,"Sulphites, Chromates, Molybdates and Tungstates"
Alcaparrosaite,Alcaparrosaite,K_3_Ti^4+^Fe^3+^(S^6+^O_4_)_4_O·2H_2_O,K Ti Fe S O H,,Alcaparrosaite,monoclinic,C2/c,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Aldermanite,Aldermanite,[Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O,Mg H O Na Al P,R100073,Aldermanite,orthorhombic,,,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Aldomarinoite,Aldomarinoite,Sr_2_Mn^3+^(As^5+^O_4_)_2_(OH),Sr Mn As O H,R220034,Brackebuschite,monoclinic,P2_1/m,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Aldridgeite,Aldridgeite,"(Cd^2+^,Ca)(Cu^2+^,Zn^2+^)_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O",Cd Ca Cu Zn S O H,,Devilline,monoclinic,C2/c,1861.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals, PM56 - Slag and smelter minerals",25,Sulphates
Aleksandrovite,Aleksandrovite,KCa_7_Sn^4+^_2_Li_3_Si_12_O_36_F_2_,K Ca Sn Li Si O F,,Baratovite,monoclinic,C2/c,270.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",17,Silicates Containing other Anions
Aleksite,Aleksite,Pb^2+^Bi^3+^_2_Te^2-^_2_S^2-^_2_,Pb Bi Te S,R070011,Tetradymite,hexagonal,P-3m1,2724.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Aleutite,Aleutite,[Cu^2+^_5_O_2_](As^5+^O_4_)(V^5+^O_4_)·(Cu^2+^_0.5_[box]_0.5_)Cl,Cu O As V Cl,,Not in a structural group,monoclinic,C2/m,3.6e-05,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Alexkhomyakovite,Alexkhomyakovite,K_6_(Ca_2_Na)(CO_3_)_5_Cl·6H_2_O,K Ca Na C O Cl H,,Not in a structural group,hexagonal,P6_3/mcm,413.6,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",12,Carbonates with other anions
Alexkuznetsovite-(Ce),Alexkuznetsovite-(Ce),Ce^3+^_2_Mn^2+^(CO_3_)(Si_2_O_7_),Ce Mn C O Si,,Biraite,monoclinic,P2_1/c,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites",11,Carbonates
Alexkuznetsovite-(La),Alexkuznetsovite-(La),La_2_Mn^2+^(CO_3_)(Si_2_O_7_),La Mn C O Si,,Biraite,monoclinic,P2_1/c,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites",11,Carbonates
Alflarsenite,Alflarsenite,NaCa_2_Be_3_Si_4_O_13_(OH)·2H_2_O,Na Ca Be Si O H,, ,monoclinic,P2_1,294.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks",17,Silicates Containing other Anions
Alforsite,Alforsite,Ba_5_(PO_4_)_3_Cl,Ba P O Cl,R070356,Apatite,hexagonal,P6_3/m,542.0,"Abiotic, Biotic; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",0,Unclassified
Alfredcasparite,Alfredcasparite,Sr_2_Ti^4+^O(Si_2_O_7_),Sr Ti O Si,,Melilite,tetragonal,P4bm,,,14,Silicates not Containing Aluminum
Alfredopetrovite,Alfredopetrovite,Al_2_(Se^4+^O_3_)_3_·6H_2_O,Al Se O H,R210014,Not in a structural group,hexagonal,P-62c,416.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",28,"Selenites, Selenates, Tellurites, and Tellurates"
Alfredstelznerite,Alfredstelznerite,Ca_4_B_16_O_16_(OH)_24_·19H_2_O,Ca H O B,,Not in a structural group,orthorhombic,Pca2_1,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)",10,Borates with other anions
Algodonite,Algodonite,Cu_1-x_As_x_ (x ≈ 1/7),Cu As,,Not in a structural group,hexagonal,P6_3/mmc,1960.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Alicewilsonite-(YCe),Alicewilsonite-(YCe),Na_2_Sr_2_YCe^3+^(CO_3_)_6_·3H_2_O,Na Sr Y Ce C O H,,Mckelveyite,triclinic,P1,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",11,Carbonates
Alicewilsonite-(YLa),Alicewilsonite-(YLa),Na_2_Sr_2_YLa(CO_3_)_6_·3H_2_O,Na Sr Y La C O H,,Mckelveyite,triclinic,P1,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",11,Carbonates
Aliettite,Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Ca Mg Si Al O H,,"Corrensite, Clay",,,381.5,"Abiotic, Biotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals",17,Silicates Containing other Anions
Allabogdanite,Allabogdanite,"(Fe,Ni)_2_P",Fe Ni P,R070012,Barringerite,orthorhombic,Pnma,,"Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks",2,"Carbides, Nitrides, Silicides and Phosphides"
Allactite,Allactite,Mn^2+^_7_(As^5+^O_4_)_2_(OH)_8_,Mn As O H,R070175 R150120,Allactite,monoclinic,P2_1/a,1890.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",0,Unclassified
Allanite-(Ce),Allanite-(Ce),CaCe^3+^Al_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca Ce Al Fe Si O H,R050043 R060418 R080044 R080092,"Epidote, allanite",monoclinic|unknown,P2_1/m,3366.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Allanite-(La),Allanite-(La),CaLaFe^2+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH),Ca La Al Fe Si O H,R070246,"Epidote, allanite",monoclinic,P2_1/m,2816.0,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Allanite-(Nd),Allanite-(Nd),CaNdAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca Nd Al Fe Si O H,,"Epidote, allanite",monoclinic,P2_1/m,1890.0,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks",17,Silicates Containing other Anions
Allanite-(Y),Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca Y Al Fe Si O H,,"Epidote, allanite",monoclinic,P2_1/m,2698.0,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Allanpringite,Allanpringite,Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O,Fe P O H,R080147,Wavellite,monoclinic,P2_1/n,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Allantoin,Allantoin,C_4_H_6_N_4_O_3_,C H N O,, ,,,,"Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals",0,Unclassified
Allargentum,Allargentum,Ag_1-x_Sb_x_ (x=0.09-0.16),Ag Sb,,Allargentum,hexagonal,P6_3/mmc,2730.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Alleghanyite,Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,Mn Si O H,R060904 R070378,Humite,monoclinic,P2_1/b,1898.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Allendeite,Allendeite,Sc_4_Zr^4+^_3_O_12_,Sc Zr O,, ,hexagonal,R-3|P6_3/mmc,4567.61,"Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates",7,Oxides and Hydroxides
Allochalcoselite,Allochalcoselite,Cu^1+^Cu^2+^_5_Pb^2+^O_2_(Se^4+^O_3_)_2_Cl_5_,Cu Pb O Se Cl,,Not in a structural group,monoclinic,C2/m,3.6e-05,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",28,"Selenites, Selenates, Tellurites, and Tellurates"
Alloclasite,Alloclasite,Co^3+^(AsS)^3-^,Co As S,R110002,Löllingite,monoclinic,P2_1,3254.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Allophane,Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,Al O Si H,R070188 R120001,Allophane,,,4000.0,"Abiotic, Biotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals",15,Silicates of Aluminum
Alloriite,Alloriite,"(Na,K,Ca)_24_(Na,Ca)_4_Ca_4_(Si,Al)_48_O_96_(S^6+^O_4_)_4_(S^4+^O_3_,CO_3_)_2_(OH,Cl)_2_(H_2_O,OH)_4_",Na K Ca Si Al O S C H Cl,R070560,"Cancrinite, Cancrinite-sodalite",hexagonal,P31c,0.4,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",26,Sulphates with Halide
Alluaivite,Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Na Ca Mn Ti Nb Si O Cl H,,Eudialyte,hexagonal,R-3m,1540.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Alluaudite,Alluaudite,[box]NaMn^2+^Fe^3+^_2_(PO_4_)_3_,Na Mn Fe P O,R160080 R160081 R160082 R140711 R141067,Alluaudite,monoclinic,C2/c,2772.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Almandine,Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,Fe Al Si O,R040076 R040079 R040168 R050029 R060099 R060450 R070129 R100046 R120145 R120152 R190023,Garnet,cubic|unknown,Ia3d|Ia-3d,2925.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM40 - Regional metamorphism",16,Silicates Containing Aluminum and other Metals
Almarudite,Almarudite,"K([box],Na)_2_Mn^2+^_2_(Be_3_Si_12_)O_30_",K Na Mn Fe Mg Be Al Si O,,Milarite,hexagonal,P6/mcc,0.4,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",16,Silicates Containing Aluminum and other Metals
Almeidaite,Almeidaite,"Pb^2+^Zn^2+^_2_(Mn^2+^,Y)(Ti^4+^,Fe^3+^)_18_O_36_(OH,O)_2_",Pb Zn Mn Y Ti Fe O H,,Crichtonite,hexagonal,R-3,1192.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",7,Oxides and Hydroxides
Alnaperbøeite-(Ce),Alnaperboeite-(Ce),(CaCe^3+^_2.5_Na_0.5_)Al_4_(Si_2_O_7_)(SiO_4_)_3_O(OH)_2_,Ca Ce Na Al Si O H,,Gatelite,monoclinic,P2_1/m,1788.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Alpeite,Alpeite,Ca_4_Mn^3+^_2_Al_2_(Mn^3+^Mg)(SiO_4_)_2_(Si_3_O_10_)(V^5+^O_4_)(OH)_6_,Ca Mn Al Mg Si O V H,,Ardennite,orthorhombic,Pnmm,100.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Alpersite,Alpersite,MgS^6+^O_4_·7H_2_O,Mg S O H,,Melanterite,monoclinic,P2_1/c,2500.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",4,Oxysulphides
Alsakharovite-Zn,Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Na Sr K Zn Ti Nb Si O H,,Labuntsovite,monoclinic,Cm,370.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Alstonite,Alstonite,BaCa(CO_3_)_2_,Ba Ca C O,R050483 R090049,Alstonite,"orthorhombic|triclinic, hexagonal",C-1|P31m,2070.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites",11,Carbonates
Altaite,Altaite,Pb^2+^Te^2-^,Pb Te,R060939,Rocksalt,cubic,Fm3m,4000.0,"Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",0,Unclassified
Alterite,Alterite,Zn^2+^_2_Fe^3+^_4_(S^6+^O_4_)_4_((C_2_)^6+^O_4_)_2_(OH)_4_·17H_2_O,Zn Fe S O C H,R180005,"Alterite, Oxalate",monoclinic,,,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins",25,Sulphates
Althausite,Althausite,"Mg_4_(PO_4_)_2_(OH,O)(F,[box])",Mg P O H F,R070113,Not in a structural group,orthorhombic,Pnma,582.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites",0,Unclassified
Althupite,Althupite,AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O,Al Th U O P H,,Not in a structural group,triclinic,P-1,975.3,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Altisite,Altisite,Na_3_K_6_Ti^4+^_2_Al_2_Si_8_O_26_Cl_3_,Na K Ti Al Si O Cl,,Lemoynite,monoclinic,C2/m,413.6,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Aluminite,Aluminite,Al_2_S^6+^O_4_(OH)_4_·7H_2_O,Al S O H,R060691,Aluminite,monoclinic,P2_1/c,3110.0,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",4,Oxysulphides
Aluminium,Aluminium,Al,Al,R070230,Copper,cubic,Fm3m,419.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM30 - Terrestrial impact minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Aluminoceladonite,Aluminoceladonite,KMgAlSi_4_O_10_(OH)_2_,K Mg Fe Al Si O H,,Mica,monoclinic|hexagonal,C2/m|P3_112,1060.0,"Abiotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism",17,Silicates Containing other Anions
Aluminocerite-(CeCa),Aluminocerite-(CeCa),(Ce^3+^_6_Ca_3_)[box]Al(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_,Ce Ca Al Si O H,,Cerite,hexagonal,R3c,485.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites",17,Silicates Containing other Anions
Aluminocopiapite,Aluminocopiapite,"(Al,Mg)Fe^3+^_4_(S^6+^O_4_)_6_(OH,O)_2_·20H_2_O",Al Mg Fe S O H,,Copiapite,triclinic,P-1,470.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",25,Sulphates
Aluminocoquimbite,Aluminocoquimbite,Al_2_Fe^3+^_2_(S^6+^O_4_)_6_(H_2_O)_12_·9H_2_O,Al Fe S O H,,Coquimbite,hexagonal,P-31c,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",25,Sulphates
Aluminomagnesiohulsite,Aluminomagnesiohulsite,Mg_2_AlO_2_(BO_3_),Mg Al O B,,Hulsite,monoclinic,P2/m,2058.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",9,Borates
Alumino-oxy-rossmanite,Alumino-oxy-rossmanite,Al_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_O,Al Si O B H,,Tourmaline,hexagonal,R3m,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Aluminopyracmonite,Aluminopyracmonite,(N^3-^H_4_)_3_Al(S^6+^O_4_)_3_,N H Al S O,,Pyracmonite,hexagonal,R-3,298.9,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",25,Sulphates
Aluminosugilite,Aluminosugilite,KNa_2_Al_2_Li_3_Si_12_O_30_,K Na Al Li Si O,,Milarite,hexagonal,P6/mcc,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",16,Silicates Containing Aluminum and other Metals
Aluminotaipingite-(CeCa),Aluminotaipingite-(CeCa),(Ce^3+^_6_Ca_3_)Al(SiO_4_)_3_[SiO_3_(OH)]_4_F_3_,Ce Ca Al Si O H F,,Cerite,hexagonal,R3c,,,17,Silicates Containing other Anions
Alum-(K),Alum-(K),KAl(S^6+^O_4_)_2_·12H_2_O,K Al S O H,R040134 R060014 R060528,Alum,cubic,Pa3,3110.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals",25,Sulphates
Alum-(Na),Alum-(Na),NaAl(S^6+^O_4_)_2_·12H_2_O,Na Al S O H,R110204,Alum,cubic,Pa3,35.7,"Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",25,Sulphates
Alumoåkermanite,Alumoakermanite,"(Ca,Na)_2_(Al,Mg,Fe^2+^)(Si_2_O_7_)",Ca Na Al Mg Fe Si O,,Melilite,tetragonal,P-42_1m,354.0,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals",16,Silicates Containing Aluminum and other Metals
