Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Shannonite,Shannonite,Pb^2+^_2_O(CO_3_),Pb O C,R070501, ,orthorhombic,P2_12_12_1,1703.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",11,Carbonates
Sharpite,Sharpite,Ca(U^6+^O_2_)_3_(CO_3_)_4_·3H_2_O,Ca U O C H,, ,orthorhombic,,1800.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",11,Carbonates
Sharyginite,Sharyginite,Ca_3_Ti^4+^Fe^3+^_2_O_8_,Ca Ti Fe O,,"Perovskite, Brownmillerite",orthorhombic,Pmc2_1,1850.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",0,Unclassified
Shasuite,Shasuite,CaNi^2+^_3_(P_2_O_7_)_2_,Ca Ni P O,, ,monoclinic,P2_1/c,,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",0,Unclassified
Shattuckite,Shattuckite,Cu^2+^_5_(SiO_3_)_4_(OH)_2_,Cu Si O H,R050133 R061073, ,orthorhombic,Pcab,1110.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",17,Silicates Containing other Anions
Shcherbakovite,Shcherbakovite,K_2_NaTi^4+^_2_(Si_4_O_12_)O(OH),K Na Ti O H Si,R080078,Batisite,orthorhombic,Imma,2038.0,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Shcherbinaite,Shcherbinaite,V^5+^_2_O_5_,V O,, ,orthorhombic,Pmn2_1|Pmmn,2500.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",7,Oxides and Hydroxides
Shchurovskyite,Shchurovskyite,K_2_CaCu^2+^_6_O_2_(As^5+^O_4_)_4_,K Ca Cu O As,,Not in a structural group,monoclinic,C2,3.6e-05,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Sheldrickite,Sheldrickite,NaCa_3_(CO_3_)_2_F_3_·H_2_O,Na Ca C O F H,, ,hexagonal,P3_2,124.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",12,Carbonates with other anions
Shenzhuangite,Shenzhuangite,Ni^2+^Fe^2+^S^2-^_2_,Ni Fe S,,Chalcopyrite,tetragonal,I-42d,,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Sherwoodite,Sherwoodite,Ca_5.5_(AlV^4+^V^5+^_12_O_39_)·28H_2_O,Ca Al V O H,, ,tetragonal,I4_1/amd,96.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins",0,Unclassified
Shibkovite,Shibkovite,K_2_Ca_2_(Zn^2+^_3_Si_12_)O_30_,K Ca Zn Si O,R080040,Milarite,hexagonal,P6/mcc,359.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",14,Silicates not Containing Aluminum
Shigaite,Shigaite,Mn^2+^_6_Al_3_(OH)_18_[Na(H_2_O)_6_](S^6+^O_4_)_2_·6H_2_O,Mn Al O H Na S,R080090,"Woodwardite, Hydrotalcite",hexagonal,R-3,2400.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
